<<<<<<< HEAD
Site,CowTagID,SeepCode,Seep_Reef,Tide,Day_Night,Date,Salinity_In_Field,SamplingTime,TempInLab,mV,Salinity_In_Lab,TA,TrisCalDate
La Source,5,c,Seep,Low,Dawn,10/30/2023,30.1,6:00:00,26.03,-77,,,20231008
Nordhoff,13,,Reef,Low,Dawn,10/30/2023,37.1,6:30:00,26.05,-81.4,,,20231008
Nordhoff,14,,Reef,Low,Dawn,10/30/2023,37.1,6:30:00,26.22,-81.9,,,20231008
Nordhoff,15,,Reef,Low,Dawn,10/30/2023,37.1,6:30:00,26.21,-82,,,20231008
Nordhoff,16,,Reef,Low,Dawn,10/30/2023,37,6:30:00,26.19,-82.1,,,20231008
Nordhoff,17,,Reef,Low,Dawn,10/30/2023,37.1,6:30:00,26.12,-82.2,,,20231008
Nordhoff,18,,Reef,Low,Dawn,10/30/2023,37.1,6:30:00,26.12,-82.3,,,20231008
Nordhoff,19,,Reef,Low,Dawn,10/30/2023,37.1,6:30:00,26.21,-82,,,20231008
Nordhoff,20,,Reef,Low,Dawn,10/30/2023,37.1,6:30:00,26.46,-81.9,,,20231008
Nordhoff,21,,Reef,Low,Dawn,10/30/2023,37.1,6:30:00,26.19,-81.9,,,20231008
Nordhoff,22,,Reef,Low,Dawn,10/30/2023,37.1,6:30:00,26.28,-82.3,,,20231008
Nordhoff,23,,Reef,Low,Dawn,10/30/2023,37.1,6:30:00,26.58,-81.9,,,20231008
Nordhoff,24,,Reef,Low,Dawn,10/30/2023,37.1,6:30:00,26.17,-82.1,,,20231008
La Source,1,,Reef,High,Noon,10/30/2023,36.9,11:30:00,26.95,-81.1,,,20231008
La Source,2,,Reef,High,Noon,10/30/2023,37,11:30:00,27.05,-81.1,,,20231008
La Source,3,,Reef,High,Noon,10/30/2023,37,11:30:00,26.97,-81.5,,,20231008
La Source,4,,Reef,High,Noon,10/30/2023,37,11:30:00,27.129,-81.3,,,20231008
La Source,5,d,Seep,High,Noon,10/30/2023,29.9,11:30:00,27.102,-78.4,,,20231008
La Source,6,,Reef,High,Noon,10/30/2023,37,11:30:00,27.12,-81,,,20231008
La Source,7,,Reef,High,Noon,10/30/2023,37,11:30:00,27.08,-81.4,,,20231008
La Source,8,,Reef,High,Noon,10/30/2023,37,11:30:00,27,-82,,,20231008
La Source,9,,Reef,High,Noon,10/30/2023,37,11:30:00,27.1,-81.7,,,20231008
La Source,10,,Reef,High,Noon,10/30/2023,37,11:30:00,27.02,-81.7,,,20231008
La Source,11,,Reef,High,Noon,10/30/2023,37,11:30:00,27.01,-82.2,,,20231008
La Source,12,,Reef,High,Noon,10/30/2023,37,11:30:00,27.02,-82.3,,,20231008
La Source,5,e,Seep,High,Noon,10/30/2023,30.4,11:30:00,27.045,-79.2,,,20231008
La Source,5,f,Seep,High,Noon,10/30/2023,26.2,11:30:00,26.85,-76.6,,,20231008
Nordhoff,13,,Reef,High,Noon,10/30/2023,37,12:00:00,27.12,-80.9,,,20231008
Nordhoff,14,,Reef,High,Noon,10/30/2023,37.1,12:00:00,27.22,-81.5,,,20231008
Nordhoff,15,,Reef,High,Noon,10/30/2023,37.1,12:00:00,27.42,-81.5,,,20231008
Nordhoff,16,,Reef,High,Noon,10/30/2023,37,12:00:00,27.33,-81.7,,,20231008
Nordhoff,17,,Reef,High,Noon,10/30/2023,37.1,12:00:00,27.45,-81.4,,,20231008
Nordhoff,18,,Reef,High,Noon,10/30/2023,37.1,12:00:00,27.5,-81.8,,,20231008
Nordhoff,19,,Reef,High,Noon,10/30/2023,37.1,12:00:00,27.51,-81.8,,,20231008
Nordhoff,20,,Reef,High,Noon,10/30/2023,37.1,12:00:00,27.33,-82,,,20231008
Nordhoff,21,,Reef,High,Noon,10/30/2023,37.1,12:00:00,27.37,-82,,,20231008
Nordhoff,22,,Reef,High,Noon,10/30/2023,37.1,12:00:00,27.57,-81.8,,,20231008
Nordhoff,23,,Reef,High,Noon,10/30/2023,37.1,12:00:00,27.57,-82,,,20231008
Nordhoff,24,,Reef,High,Noon,10/30/2023,37.1,12:00:00,27.5,-82.2,,,20231008
La Source,1,,Reef,Low,Dusk,10/30/2023,37.1,17:30:00,26.534,-80.7,,,20231008
La Source,2,,Reef,Low,Dusk,10/30/2023,37,17:30:00,26.6,-80.6,,,20231008
La Source,3,,Reef,Low,Dusk,10/30/2023,37.1,17:30:00,26.55,-80.8,,,20231008
La Source,4,,Reef,Low,Dusk,10/30/2023,37,17:30:00,26.36,-81,,,20231008
La Source,5,g,Seep,Low,Dusk,10/30/2023,32.9,17:30:00,26.55,-79.4,,,20231008
La Source,6,,Reef,Low,Dusk,10/30/2023,37,17:30:00,26.48,-79.9,,,20231008
La Source,7,,Reef,Low,Dusk,10/30/2023,37,17:30:00,26.44,-80.5,,,20231008
La Source,8,,Reef,Low,Dusk,10/30/2023,37,17:30:00,26.38,-80.9,,,20231008
La Source,9,,Reef,Low,Dusk,10/30/2023,37,17:30:00,26.48,-80.4,,,20231008
La Source,10,,Reef,Low,Dusk,10/30/2023,37,17:30:00,26.51,-81.1,,,20231008
La Source,11,,Reef,Low,Dusk,10/30/2023,37,17:30:00,26.33,-81.1,,,20231008
La Source,12,,Reef,Low,Dusk,10/30/2023,37,17:30:00,26.6,-81.8,,,20231008
La Source,5,h,Seep,Low,Dusk,10/30/2023,27.3,17:30:00,26.21,-76.8,,,20231008
La Source,5,i,Seep,Low,Dusk,10/30/2023,31.5,17:30:00,26.32,-78.5,,,20231008
Nordhoff,13,,Reef,Low,Dusk,10/30/2023,37.1,18:00:00,26.24,-80.2,,,20231008
Nordhoff,14,,Reef,Low,Dusk,10/30/2023,37.1,18:00:00,26.19,-80.5,,,20231008
Nordhoff,15,,Reef,Low,Dusk,10/30/2023,37.1,18:00:00,26.17,-80.7,,,20231008
Nordhoff,16,,Reef,Low,Dusk,10/30/2023,37,18:00:00,26.184,-80.6,,,20231008
Nordhoff,17,,Reef,Low,Dusk,10/30/2023,37,18:00:00,26.2,-80.7,,,20231008
Nordhoff,18,,Reef,Low,Dusk,10/30/2023,37.1,18:00:00,25.99,-80.6,,,20231008
Nordhoff,19,,Reef,Low,Dusk,10/30/2023,37,18:00:00,25.99,-81,,,20231008
Nordhoff,20,,Reef,Low,Dusk,10/30/2023,37,18:00:00,26.12,-80.6,,,20231008
Nordhoff,21,,Reef,Low,Dusk,10/30/2023,37,18:00:00,26,-80.7,,,20231008
Nordhoff,22,,Reef,Low,Dusk,10/30/2023,37,18:00:00,26.26,-81,,,20231008
Nordhoff,23,,Reef,Low,Dusk,10/30/2023,37,18:00:00,26.14,-80.5,,,20231008
Nordhoff,24,,Reef,Low,Dusk,10/30/2023,37,18:00:00,26.17,-80.7,,,20231008
=======
Site,CowTagID,SeepCode,Tide,Day_Night,Date,Salinity_In_Field,SamplingTime,TempInLab,mV,Salinity_In_Lab,TempInSitu,TA,TrisCalDate,No_Junk_Run,Notes,Salinity_Calibration_Date
Lagoon,41,a,Low,Dawn,10/29/23,14.3,5:15:00,24.55,-55.2,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,42,,Low,Dawn,10/29/23,36.9,5:45:00,24.96,-68.2,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,43,,Low,Dawn,10/29/23,37.1,5:45:00,25,-70,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,44,,Low,Dawn,10/29/23,37.1,5:45:00,25.008,-70.1,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,45,,Low,Dawn,10/29/23,37.1,5:45:00,24.89,-70.4,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,46,,Low,Dawn,10/29/23,37.1,5:45:00,25.03,-70.4,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,47,,Low,Dawn,10/29/23,37.1,5:45:00,24.95,-70.5,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,48,,Low,Dawn,10/29/23,37.1,5:45:00,24.84,-70.7,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,49,,Low,Dawn,10/29/23,37.1,5:45:00,24.85,-70.8,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,50,,Low,Dawn,10/29/23,37.1,5:45:00,24.85,-70.9,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,51,,Low,Dawn,10/29/23,37.2,5:45:00,24.9,-71.5,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,52,,Low,Dawn,10/29/23,37.2,5:45:00,24.9,-71.5,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,53,,Low,Dawn,10/29/23,37.2,5:45:00,24.95,-71.1,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,41,b,Low,Dawn,10/29/23,1.7,6:15:00,24.61,-53.7,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,41,c,Low,Dawn,10/29/23,15.4,7:00:00,25.22,-61,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,41,d,Low,Dawn,10/29/23,29.7,8:30:00,28.19,-69.2,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,41,e,Mid,Dawn,10/29/23,33.8,10:15:00,27.663,-73.3,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,41,f,High,Noon,10/29/23,35.3,11:45:00,28.002,-75,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,42,,High,Noon,10/29/23,37.9,11:45:00,27.54,-79.3,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,43,,High,Noon,10/29/23,37.9,11:45:00,27.47,-79.8,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,44,,High,Noon,10/29/23,37.9,11:45:00,27.27,-79.7,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,45,,High,Noon,10/29/23,37.9,11:45:00,27.63,-80,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,46,,High,Noon,10/29/23,37.9,11:45:00,28.02,-79.4,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,47,,High,Noon,10/29/23,37.9,11:45:00,27.77,-79.3,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,48,,High,Noon,10/29/23,37.9,11:45:00,27.6,-79.3,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,49,,High,Noon,10/29/23,37.9,11:45:00,27.8,-79.2,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,50,,High,Noon,10/29/23,37.9,11:45:00,27.68,-79.3,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,51,,High,Noon,10/29/23,37.9,11:45:00,27.34,-80,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,52,,High,Noon,10/29/23,37.9,11:45:00,27.28,-79.8,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,53,,High,Noon,10/29/23,37.9,11:45:00,27.58,-79.8,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,41,g,High,Noon,10/29/23,37.9,13:00:00,27.92,-76.6,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,41,h,Mid,Dusk,10/29/23,30,15:30:00,28.64,-75.5,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,41,i,Low,Dusk,10/29/23,11.2,17:30:00,26.1,-61.6,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,42,,Low,Dusk,10/29/23,37.5,18:00:00,26.98,-80,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,43,,Low,Dusk,10/29/23,37.7,18:00:00,26.97,-81,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,44,,Low,Dusk,10/29/23,37.7,18:00:00,27.05,-81.5,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,45,,Low,Dusk,10/29/23,37.7,18:00:00,27.75,-81.7,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,46,,Low,Dusk,10/29/23,37.7,18:00:00,27.15,-81.7,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,47,,Low,Dusk,10/29/23,37.7,18:00:00,27.05,-81.5,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,48,,Low,Dusk,10/29/23,37.8,18:00:00,26.92,-82.5,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,49,,Low,Dusk,10/29/23,37.8,18:00:00,27.11,-82.6,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,50,,Low,Dusk,10/29/23,37.8,18:00:00,27.12,-82.8,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,51,,Low,Dusk,10/29/23,37.8,18:00:00,27.024,-83.4,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,52,,Low,Dusk,10/29/23,37.8,18:00:00,26.9,-83.4,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,53,,Low,Dusk,10/29/23,37.8,18:00:00,26.94,-83.1,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Lagoon,41,j,Low,Dusk,10/29/23,8.2,18:30,25.63,-59.2,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
La Source,1,,Low,Dawn,10/30/23,36.9,6:00:00,26.4,-80,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
La Source,2,,Low,Dawn,10/30/23,37.1,6:00:00,26.12,-79,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
La Source,3,,Low,Dawn,10/30/23,37.1,6:00:00,26.06,-79.3,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
La Source,4,,Low,Dawn,10/30/23,37.1,6:00:00,26.14,-80,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
La Source,5,a,Low,Dawn,10/30/23,28.6,6:00:00,26.09,-76.6,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
La Source,6,,Low,Dawn,10/30/23,37.1,6:00:00,26.18,-79.1,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
La Source,7,,Low,Dawn,10/30/23,37,6:00:00,26.06,-80.3,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
La Source,8,,Low,Dawn,10/30/23,37,6:00:00,25.96,-80,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
La Source,9,,Low,Dawn,10/30/23,37.1,6:00:00,26.04,-70.8,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
La Source,10,,Low,Dawn,10/30/23,37,6:00:00,26.113,-79.8,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
La Source,11,,Low,Dawn,10/30/23,37.1,6:00:00,26.12,-80.1,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
La Source,12,,Low,Dawn,10/30/23,37,6:00:00,26.1,-80.1,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
La Source,5,b,Low,Dawn,10/30/23,29,6:00:00,26.1,-77.2,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
La Source,5,c,Low,Dawn,10/30/23,30.1,6:00:00,26.03,-77,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Nordhoff,13,,Low,Dawn,10/30/23,37.1,6:30:00,26.05,-81.4,,,2321.981567,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Nordhoff,14,,Low,Dawn,10/30/23,37.1,6:30:00,26.22,-81.9,,,2387.743116,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Nordhoff,15,,Low,Dawn,10/30/23,37.1,6:30:00,26.21,-82,,,2390.824936,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Nordhoff,16,,Low,Dawn,10/30/23,37,6:30:00,26.19,-82.1,,,2374.767093,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Nordhoff,17,,Low,Dawn,10/30/23,37.1,6:30:00,26.12,-82.2,,,2384.598309,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Nordhoff,18,,Low,Dawn,10/30/23,37.1,6:30:00,26.12,-82.3,,,2376.944444,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Nordhoff,19,,Low,Dawn,10/30/23,37.1,6:30:00,26.21,-82,,,2375.881735,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Nordhoff,20,,Low,Dawn,10/30/23,37.1,6:30:00,26.46,-81.9,,,2369.75317,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Nordhoff,21,,Low,Dawn,10/30/23,37.1,6:30:00,26.19,-81.9,,,2369.33347,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Nordhoff,22,,Low,Dawn,10/30/23,37.1,6:30:00,26.28,-82.3,,,2367.993356,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Nordhoff,23,,Low,Dawn,10/30/23,37.1,6:30:00,26.58,-81.9,,,2361.945698,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Nordhoff,24,,Low,Dawn,10/30/23,37.1,6:30:00,26.17,-82.1,,,2360.864176,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
La Source,1,,High,Noon,10/30/23,36.9,11:30:00,26.95,-81.1,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
La Source,2,,High,Noon,10/30/23,37,11:30:00,27.05,-81.1,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
La Source,3,,High,Noon,10/30/23,37,11:30:00,26.97,-81.5,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
La Source,4,,High,Noon,10/30/23,37,11:30:00,27.129,-81.3,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
La Source,5,d,High,Noon,10/30/23,29.9,11:30:00,27.102,-78.4,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
La Source,6,,High,Noon,10/30/23,37,11:30:00,27.12,-81,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
La Source,7,,High,Noon,10/30/23,37,11:30:00,27.08,-81.4,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
La Source,8,,High,Noon,10/30/23,37,11:30:00,27,-82,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
La Source,9,,High,Noon,10/30/23,37,11:30:00,27.1,-81.7,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
La Source,10,,High,Noon,10/30/23,37,11:30:00,27.02,-81.7,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
La Source,11,,High,Noon,10/30/23,37,11:30:00,27.01,-82.2,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
La Source,12,,High,Noon,10/30/23,37,11:30:00,27.02,-82.3,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
La Source,5,e,High,Noon,10/30/23,30.4,11:30:00,27.045,-79.2,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
La Source,5,f,High,Noon,10/30/23,26.2,11:30:00,26.85,-76.6,,,,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Nordhoff,13,,High,Noon,10/30/23,37,12:00:00,27.12,-80.9,,,2360.221116,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Nordhoff,14,,High,Noon,10/30/23,37.1,12:00:00,27.22,-81.5,,,2369.202109,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
Nordhoff,15,,High,Noon,10/30/23,37.1,12:00:00,27.42,-81.5,,,2373.673942,###############################################################################################################################################################################################################################################################,,,###############################################################################################################################################################################################################################################################
